Isolate ID,MLST,Count
BWH_1038_E_col_1,ST38,48
BWH_1094_E_col_1,ST38,48
BWH_1123_E_col_1,ST38,48
BWH_1597_E_col_1,ST38,48
BWH_1886_E_col,ST38,48
BWH_234_E_col_1,ST38,48
BWH_302_E_col_1,ST38,48
BWH_795_E_col_1,ST38,48
BWH_926_E_col_1,ST38,48
BWH_970_E_col_1,ST38,48
BWH_973_E_col_1,ST38,48
CMZE017,ST38,48
CMZE026,ST38,48
CMZE044,ST38,48
CMZE106,ST38,48
CRE1345,ST38,48
EC11,ST38,48
EC35,ST38,48
G24,ST38,48
GU27,ST38,48
HOS16,ST38,48
HOS46,ST38,48
HOS59,ST38,48
HOS72,ST38,48
MOC8113,ST38,48
MOC9136,ST38,48
MRSN570466,ST38,48
MRSN832716,ST38,48
RECU168,ST38,48
VUTI113,ST38,48
VUTI327,ST38,48
VUTI327_1,ST38,48
VUTI341,ST38,48
VUTI341_1,ST38,48
VUTI371,ST38,48
ZRUEC59,ST38,48
VUTI249,ST388,1
Combat13F7,ST3902,1
CMZE067,ST393,5
CMZE069,ST393,5
EcPNK004,ST393,5
MRSN702019,ST393,5
VUTI229,ST393,5
CPO114,ST394,2
EcPF15,ST394,2
EC6563,ST3941,1
VUTI131,ST399,1
MS8315,ST404,6
MS8317,ST404,6
MS8319,ST404,6
UPEC_AU_2,ST404,6
VUTI174,ST404,6
VUTI199,ST404,6
18070201,ST405,17
12EC,ST405,17
BWH_1302_E_col_1,ST405,17
BWH_219_E_col_1,ST405,17
BWH_930_E_col_1,ST405,17
CPO077,ST405,17
CPO083,ST405,17
CPO124,ST405,17
CREC_3,ST405,17
EcLESPA_79,ST405,17
FDAARGOS_448,ST405,17
G21,ST405,17
H61,ST405,17
MRSN831544,ST405,17
U1007,ST405,17
VUTI154_1,ST405,17
VUTI347,ST405,17
AT01,ST410,19
BM716,ST410,19
BR12_DEC,ST410,19
BWH_1183_E_col_1,ST410,19
BWH_1188_E_col_1,ST410,19
BWH_829_E_col_1,ST410,19
